liquid_thickness(um),frequency_shift_liquid(%),solid_thickness(um),frequency_shift_solid(%)
4.62,-0.38832887737451083,4.62,-0.497324477741401
4.720000000000001,-0.3934210965961138,4.720000000000001,-0.503836328472429
4.82,-0.3984452616266343,4.82,-0.5102609918728684
4.92,-0.403404877074498,4.92,-0.516604023891376
5.0200000000000005,-0.4083022734640118,5.0200000000000005,-0.5228665391983189
5.12,-0.41313317160445173,5.12,-0.5290447957011168
5.220000000000001,-0.41790680242117517,5.220000000000001,-0.53514838636598
5.32,-0.4226084256718887,5.32,-0.5411642989035959
5.42,-0.4272963132033958,5.42,-0.5471498860596613
5.5200000000000005,-0.43191368761246185,5.5200000000000005,-0.5530495787165024
5.62,-0.4364408520612706,5.62,-0.5588436661824625
5.720000000000001,-0.4409727065976421,5.720000000000001,-0.5646267733258603
5.82,-0.4454088245234855,5.82,-0.5703004760200581
5.92,-0.44979482185608655,5.92,-0.5759091869396382
6.0200000000000005,-0.45413521844424043,6.0200000000000005,-0.5814583903363646
6.12,-0.45842950171813834,6.12,-0.5869479781701714
6.220000000000001,-0.46269125370171915,6.220000000000001,-0.5923829567073047
6.32,-0.46691655744589555,6.32,-0.5977855848288804
6.42,-0.47108430801784396,6.42,-0.6031084015736488
6.5200000000000005,-0.4751760069983013,6.5200000000000005,-0.6083448010824943
6.62,-0.47925298326512156,6.62,-0.6135531357434054
6.720000000000001,-0.4832891451426846,6.720000000000001,-0.6187088449336242
6.82,-0.4872844131845411,6.82,-0.6238119594037528
6.92,-0.49125269567796837,6.92,-0.6288766648955946
7.0200000000000005,-0.49518300900722734,7.0200000000000005,-0.6338918476601285
7.12,-0.4990498455622272,7.12,-0.6388314111142601
7.220000000000001,-0.5028929914236091,7.220000000000001,-0.6437403378562134
7.32,-0.5066996693879,7.32,-0.6486008178049008
7.42,-0.5104821798316173,7.42,-0.653426457303341
7.5200000000000005,-0.5141934202874121,7.5200000000000005,-0.6581712081956792
7.62,-0.5178961723956155,7.62,-0.662897232430959
7.720000000000001,-0.5215748607774628,7.720000000000001,-0.6675929108609369
7.82,-0.5252033772742304,7.82,-0.6722228704646782
7.92,-0.5288052831075252,7.92,-0.67682877097901
8.02,-0.5323778667484125,8.02,-0.6813788652152653
8.12,-0.5359372038998611,8.12,-0.6859128558776795
8.22,-0.5394669708292277,8.22,-0.6904146216993312
8.32,-0.5429263425129949,8.32,-0.694834557228452
8.42,-0.5463825542129208,8.42,-0.6992432257009518
8.52,-0.5498166409489635,8.52,-0.7036215219990649
8.620000000000001,-0.55321197080902,8.620000000000001,-0.7079501155187518
8.72,-0.5566045594386226,8.72,-0.712273491698534
8.82,-0.5599381068812859,8.82,-0.7165281128647893
8.92,-0.5632499876357278,8.92,-0.7207532772766645
9.02,-0.5665471091029439,9.02,-0.724956542913402
9.120000000000001,-0.569817175331444,9.120000000000001,-0.7291292854158749
9.22,-0.5730677161999598,9.22,-0.7332675871382199
9.32,-0.5762874011022712,9.32,-0.7373720069993372
9.42,-0.5794881973219979,9.42,-0.7414509581648354
9.52,-0.5826648564241088,9.52,-0.7454988803794693
9.620000000000001,-0.585818119228132,9.620000000000001,-0.7495170345356184
9.72,-0.5889511746475784,9.72,-0.753508447195983
9.82,-0.5920621925503133,9.82,-0.7574720140427371
9.92,-0.5951534396855807,9.92,-0.7614092181270293
10.02,-0.5982222357793443,10.02,-0.7653176550925012
10.120000000000001,-0.6012707756193225,10.120000000000001,-0.7692000102133889
10.22,-0.6043000787855801,10.22,-0.7730574254582678
10.32,-0.6073118411067613,10.32,-0.7768919459556378
