liquid_thickness(um),frequency_shift_liquid(%),solid_thickness(um),frequency_shift_solid(%)
4.5,-0.4716202820508886,4.1,-0.5177605452555523
4.6,-0.47700956154318463,4.2,-0.5242595115433124
4.7,-0.482299814487408,4.3,-0.5306199308033221
4.8,-0.4875377381141188,4.4,-0.5369146094995503
4.9,-0.4926439856472564,4.5,-0.5430288280125928
5.32,-0.49766391040237945,4.6,-0.549063772687064
5.42,-0.5024583888675549,4.7,-0.5549821514424957
5.5200000000000005,-0.5071730713865907,4.8,-0.5608343778235381
5.62,-0.5118150756190598,4.9,-0.5665387370057839
5.720000000000001,-0.5163783455740312,5.32,-0.6339141958498495
5.82,-0.5208696120349576,5.42,-0.6400449192890068
5.92,-0.5252945782478147,5.5200000000000005,-0.6460827383925838
6.0200000000000005,-0.5296447366127666,5.62,-0.6520258707083171
6.12,-0.5339248941726549,5.720000000000001,-0.6578671165165861
6.220000000000001,-0.5381396436512143,5.82,-0.6636162241700494
6.32,-0.5422838463798096,5.92,-0.6692772064578967
6.42,-0.5463741874387473,6.0200000000000005,-0.6748395927573592
6.5200000000000005,-0.5504175575816062,6.12,-0.6803258150569591
6.62,-0.5543790306960394,6.220000000000001,-0.685724002094179
6.720000000000001,-0.558280681012302,6.32,-0.6910411710617015
6.82,-0.5621221637864049,6.42,-0.6962732944574834
6.92,-0.5659046693000769,6.5200000000000005,-0.7014292009954404
7.0200000000000005,-0.569631625626732,6.62,-0.706505485866793
7.12,-0.5733051092659869,6.720000000000001,-0.7115085846688518
7.220000000000001,-0.5769263846805761,6.82,-0.7164286963398991
7.32,-0.5804895517733555,6.92,-0.7212803763426368
7.42,-0.5840035570964353,7.0200000000000005,-0.7260573033579298
7.5200000000000005,-0.5874659713356212,7.12,-0.7307671953945216
7.62,-0.5908791017838255,7.220000000000001,-0.735409603887327
7.720000000000001,-0.5942432975551859,7.32,-0.739981775377363
7.82,-0.5975605801076034,7.42,-0.7444889113335518
7.92,-0.6008297901094695,7.5200000000000005,-0.7489307310943771
8.02,-0.6040353666893039,7.62,-0.7533100379790381
8.12,-0.6072143627005033,7.720000000000001,-0.7576238140605596
8.22,-0.6103454889686666,7.82,-0.7618801641037343
8.32,-0.6134331610922694,7.92,-0.7660747705400928
8.42,-0.616479384017532,8.02,-0.7702549458982411
8.52,-0.619483710597224,8.12,-0.77433642074618
8.620000000000001,-0.6224471798485509,8.22,-0.7783554459063535
8.72,-0.6253684668962589,8.32,-0.7823200390857599
8.82,-0.6282638294199838,8.42,-0.7862305955424587
8.92,-0.6311083080416058,8.52,-0.7900888496692904
9.02,-0.6338979767254282,8.620000000000001,-0.7938942925927339
9.120000000000001,-0.6366646536165366,8.72,-0.7976436133224629
9.22,-0.6393928288681239,8.82,-0.8013162206435887
9.32,-0.6420878600641222,8.92,-0.8049720995199738
9.42,-0.6447451114555136,9.02,-0.8085752254093692
9.52,-0.6473653368839871,9.120000000000001,-0.8121300594351566
9.620000000000001,-0.649954445919898,9.22,-0.8156358064520641
9.72,-0.6525084887149757,9.32,-0.8190943748224822
9.82,-0.6550301925393298,9.42,-0.8225104249534376
9.92,-0.6575160491760434,9.52,-0.8258587897215119
10.02,-0.6599719807845239,9.620000000000001,-0.8291859351430064
10.120000000000001,-0.6623924340620979,9.72,-0.8324664149499394
10.22,-0.6647881073123196,9.82,-0.8357061349457795
10.32,-0.6671483302158165,9.92,-0.8389024354848895
,,10.02,-0.8420595172325851
