Temp(K),Time (s),Pressure (mbar)
26.36776959657462,613.384524,0.335
26.30568322504049,618.938967,0.333
26.242058728593683,624.497526,0.333
26.173536894787997,630.365369,0.332
26.11053470561449,636.110508,0.332
26.047145319988303,641.669085,0.33
25.98407700075996,647.224334,0.33
25.914343375233397,652.785362,0.329
25.850146828173653,658.844332,0.329
25.779438675216223,664.401934,0.328
25.71427689579783,670.46118,0.328
25.649377181604574,676.017645,0.327
25.584150534503777,681.571005,0.327
25.513121458800896,687.135013,0.325
25.44259774278928,693.522117,0.326
25.377198123080667,699.248553,0.324
25.312882673402605,704.801482,0.324
25.248383290147487,710.362136,0.323
25.183499013385138,715.916292,0.322
25.118471197010035,721.475366,0.322
25.052695023378444,727.031812,0.321
24.98086604147588,732.592925,0.32
24.915108405068445,738.646358,0.32
24.8496531078565,744.2042,0.32
24.78369905751528,749.754653,0.319
24.71276986194344,755.687388,0.318
24.64796783402485,761.377879,0.318
24.58402399341745,766.933767,0.317
24.519813159943038,772.48657,0.316
24.455043699688957,778.044231,0.316
24.390637263821127,783.602475,0.315
24.319422390186745,789.1598,0.315
24.25432803589902,795.218341,0.314
24.18315630096685,800.777623,0.313
24.11835800203944,806.833912,0.312
24.04858384133409,812.393518,0.312
23.978660331889483,818.858595,0.311
23.90967646511148,824.516479,0.31
23.841465049686825,830.575421,0.31
23.77858961043359,836.634157,0.308
23.719134983369425,842.191444,0.307
23.65994818820192,847.75053,0.301
23.60489806276956,853.804305,0.294
23.544223433074627,859.37389,0.286
23.482604367898997,865.428488,0.277
23.421017175957093,871.489877,0.27
23.35943152812286,877.549159,0.262
23.297817473629124,884.069613,0.255
23.24210937228892,889.669646,0.248
23.18079386577916,895.227455,0.241
23.124305345988063,901.285398,0.235
23.066874168475756,906.840122,0.228
23.008784266548776,912.396046,0.222
22.950560056786536,917.953266,0.216
22.892142918358694,923.511657,0.21
22.832687841007026,929.067586,0.205
22.773804786327045,934.620848,0.199
22.71554977636077,940.174183,0.193
22.652038393178564,946.171408,0.188
22.593996112957704,951.793449,0.183
22.53132707802693,957.35555,0.177
22.473525599354744,963.410648,0.172
22.414829897442864,968.967505,0.167
22.355898929078407,974.522807,0.163
22.29661806775055,980.078126,0.157
22.23702093196576,985.631336,0.153
22.177638277669963,991.192527,0.148
22.11829412181551,996.748428,0.144
22.054540026732997,1002.306683,0.14
