Temp(K),Time (s),Pressure (mbar)
23.195002758206428,905.068508,0.245
23.132018438510823,910.629863,0.237
23.068467234785675,916.18279,0.23
23.005363538667453,921.739318,0.224
22.942217182494417,927.298227,0.218
22.87918147720497,932.856506,0.21
22.816105308706867,938.410594,0.205
22.74901086845483,944.398746,0.2
22.68764417615327,950.02687,0.193
22.626679736986105,955.580766,0.187
22.565517653030767,961.134788,0.182
22.50404182698104,966.688518,0.176
22.442137680523988,972.252867,0.17
22.38034283842552,977.807306,0.166
22.312143154788675,983.36621,0.161
22.245007405468144,989.427295,0.155
22.182965204017727,995.482659,0.15
22.116368756550152,1001.048376,0.146
22.05093495768486,1007.558777,0.14
