Liquid_10dBm_freqs,Liquid_10dBm_s21,Solid_10dBm_freqs,Solid_10dBm_s21,NoNeon_10dBm_freqs,NoNeon_10dBm_s21,Liquid_minus30_freqs,Liquid_minus30_s21,Solid_minus30_freqs,Solid_minus30_s21,NoNeon_minus30_freqs,NoNeon_minus30_s21
2.21672,-41.87946086033059,2.22022,-38.2313505211938,2.22022,-39.32869585569705,2.21672,-36.794191469755376,2.22022,-38.12698209195297,2.22022,-39.51010507375545
2.21674,-41.86562942681139,2.22024,-38.20167535977515,2.22024,-39.29921186313836,2.21674,-36.53512686160705,2.22024,-38.61956494520526,2.22024,-39.666788510666905
2.21676,-41.84785495876588,2.22026,-38.17305441751266,2.22026,-39.270124715163725,2.21676,-36.5205130369171,2.22026,-37.91940489775583,2.22026,-38.97948529051313
2.21678,-41.83121464000347,2.22028,-38.1467546221878,2.22028,-39.25200426980452,2.21678,-36.24696117010672,2.22028,-37.80483785056017,2.22028,-39.80108740501183
2.2168,-41.811685711501,2.2203,-38.11767233797,2.2203,-39.22921352279467,2.2168,-36.54768289127168,2.2203,-38.15271950615286,2.2203,-39.47992799038804
2.21682,-41.79317513319159,2.22032,-38.08705366012363,2.22032,-39.20416135295214,2.21682,-35.91924950822331,2.22032,-38.29330482787533,2.22032,-39.553144533818
2.21684,-41.77317734159246,2.22034,-38.06395583040851,2.22034,-39.17527971486345,2.21684,-36.60706245513215,2.22034,-38.105205596153,2.22034,-39.31158651993868
2.21686,-41.75979353942196,2.22036,-38.03132530024598,2.22036,-39.15039192457323,2.21686,-35.555205139637465,2.22036,-38.05813057131297,2.22036,-39.13046171872587
2.21688,-41.74141041240236,2.22038,-38.00078942608736,2.22038,-39.12699053521612,2.21688,-36.45980428828631,2.22038,-38.409248627835495,2.22038,-38.34393203035266
2.2169,-41.72450357980359,2.2204,-37.97344298032273,2.2204,-39.10646301014607,2.2169,-36.235647011975615,2.2204,-37.89829138512724,2.2204,-39.25977761202159
2.21692,-41.70907101942368,2.22042,-37.94646088188192,2.22042,-39.07498670494799,2.21692,-36.18414800553054,2.22042,-38.32134871945288,2.22042,-38.96080552595396
2.21694,-41.691271056379335,2.22044,-37.92007166765298,2.22044,-39.05340565870159,2.21694,-35.57881182464878,2.22044,-37.74170508624824,2.22044,-39.44553277557612
2.21696,-41.6688979832721,2.22046,-37.887564974140936,2.22046,-39.02993539226519,2.21696,-36.25079620333609,2.22046,-37.86443909554801,2.22046,-38.63029090874656
2.21698,-41.65817761720288,2.22048,-37.85764459772068,2.22048,-39.00271954587205,2.21698,-36.0101048761958,2.22048,-37.53146325194739,2.22048,-39.37492590023476
2.217,-41.63823885068764,2.2205,-37.82846432841598,2.2205,-38.98126895000723,2.217,-35.793487127740526,2.2205,-37.70958986438262,2.2205,-39.236877962415406
2.21702,-41.622126663312464,2.22052,-37.79570995072863,2.22052,-38.95216358567629,2.21702,-36.26343165778347,2.22052,-37.94615832332676,2.22052,-39.27356084055137
2.21704,-41.598940234882384,2.22054,-37.76776059532429,2.22054,-38.92979434514727,2.21704,-35.86867549439146,2.22054,-38.24956741855994,2.22054,-38.9120812620974
2.21706,-41.592696857008335,2.22056,-37.73802716740089,2.22056,-38.9024841507735,2.21706,-35.94430427454324,2.22056,-37.46127232091403,2.22056,-38.69100234043231
2.21708,-41.57295255702702,2.22058,-37.70684206797763,2.22058,-38.8777852910673,2.21708,-35.72662257099511,2.22058,-38.012972392146416,2.22058,-38.60075925106453
2.2171,-41.54879466591381,2.2206,-37.68141980944278,2.2206,-38.84971083996532,2.2171,-35.58589440082872,2.2206,-37.8248569043637,2.2206,-39.02769268725213
2.21712,-41.52543678950616,2.22062,-37.64265290421842,2.22062,-38.82638438752413,2.21712,-35.34534592219995,2.22062,-37.77463367241044,2.22062,-38.499132964780216
2.21714,-41.51341302253311,2.22064,-37.6179823012794,2.22064,-38.796672516846336,2.21714,-35.621101711915074,2.22064,-37.330717805738594,2.22064,-38.71746266839389
2.21716,-41.4936950583524,2.22066,-37.58475423189195,2.22066,-38.77169225619362,2.21716,-35.634282958118604,2.22066,-38.20231525027764,2.22066,-38.84047518825136
2.21718,-41.472979987825,2.22068,-37.56069819119662,2.22068,-38.74615422531295,2.21718,-35.401640763628585,2.22068,-38.07239812372108,2.22068,-38.8818708339822
2.2172,-41.46180095706146,2.2207,-37.52712815058289,2.2207,-38.72100154990067,2.2172,-35.688907899294186,2.2207,-38.756008528665205,2.2207,-39.00318967927706
2.21722,-41.433644352361306,2.22072,-37.49755604506109,2.22072,-38.69369337498431,2.21722,-35.53404154763463,2.22072,-37.2042060302598,2.22072,-38.538929234676445
2.21724,-41.42555851413962,2.22074,-37.46727639482289,2.22074,-38.66864803784748,2.21724,-35.659846053200496,2.22074,-37.56293806570996,2.22074,-38.52095740732159
2.21726,-41.407921608710026,2.22076,-37.43610673886338,2.22076,-38.64623061421749,2.21726,-36.01649425045774,2.22076,-37.7015382088676,2.22076,-39.33561579895018
