,SolidTime(s),SolidFrequency(GHz),SolidTemperature(K),LiquidTime(s),LiquidFrequency(GHz),LiquidTemperature(K),NoNeonTime(s),NoNeonFrequency(GHz),NoNeonTemperature(K)
14,64.352606,2.2219779435035685,23.78633527232401,64.012767,2.2188718470187503,24.709749091233157,65.459049,2.221680911064645,24.693955159990264
15,68.898556,2.2219780391457578,23.78595426937646,68.558575,2.218871124636085,24.71018060349114,70.014243,2.2216807748832887,24.693125972638477
16,73.444944,2.221978152915557,23.78595426937646,73.104751,2.218870652390311,24.71057893032591,75.07535,2.2216809777117046,24.69269480804802
17,77.992379,2.2219784292588267,23.78674803351443,77.650757,2.218869761029882,24.709350779982323,79.633191,2.221680654285693,24.694353181469825
18,82.537097,2.221978292997659,23.78474780700789,82.197881,2.218869204645093,24.709749091233157,84.185566,2.221680769405937,24.694784379877795
19,87.082463,2.221977780096984,23.787954614176385,86.742642,2.218868472027472,24.71018060349114,88.740639,2.221680671879408,24.693955159990264
20,91.628853,2.2219780404143323,23.78595426937646,91.28843,2.2188680829543217,24.71140880202111,93.295039,2.2216803368065245,24.696874158182617
21,96.174944,2.2219781786685058,23.78674803351443,95.834552,2.2188670901904284,24.70891928464101,98.356288,2.221680608943571,24.695215587070443
22,100.720646,2.221978151322216,23.78674803351443,100.38051,2.218866344112497,24.71057893032591,102.911061,2.221680677604585,24.69561363227025
23,105.26713,2.2219777121059168,23.784366833694246,104.926636,2.2188654823732197,24.70891928464101,107.466372,2.221680684554958,24.696442917140786
24,109.812666,2.2219783004157274,23.787129051281106,109.472584,2.21886435993079,24.71140880202111,112.021678,2.221680618141788,24.694353181469825
25,114.35822,2.221977569531298,23.78633527232401,114.018226,2.2188630817317803,24.71184034812756,116.577482,2.221680246325914,24.696874158182617
26,118.906179,2.2219781481680525,23.787541828550268,118.564466,2.2188618808832534,24.70891928464101,121.150685,2.221680288044662,24.697272234571678
27,123.972645,2.2219776713704023,23.78633527232401,123.128964,2.2188617474761343,24.70891928464101,126.193938,2.2214396730510892,24.696044856332836
28,129.006697,2.221776031597561,23.78516053610663,128.166362,2.2193453690173772,24.709749091233157,130.748498,2.2214395973422456,24.697703492474872
29,133.552191,2.22177785022825,23.78674803351443,132.707583,2.2200148875403407,24.71018060349114,135.303477,2.2214395505542304,24.693523978508548
30,138.099229,2.2217790641229653,23.787129051281106,137.256485,2.220672004580423,24.71057893032591,139.858418,2.2214394979057297,24.697272234571678
31,142.644908,2.221779666011101,23.78674803351443,141.79959,2.2213396100613796,24.707691230582363,144.413869,2.2214393910255783,24.696442917140786
32,147.190179,2.2217797284921774,23.787129051281106,146.346938,2.2215562241922457,24.712670269256183,148.967984,2.2214393692446746,24.696874158182617
33,151.736386,2.221779812082032,23.78674803351443,151.400678,2.221562895418909,24.71057893032591,154.029969,2.2214393285530196,24.698930966949103
34,156.28275,2.2217798463089267,23.78516053610663,155.942959,2.2215633655064924,24.711010459521564,159.090789,2.2214392400090914,24.696442917140786
35,160.829459,2.221779948112281,23.787541828550268,160.488579,2.2215634803723625,24.71057893032591,163.645907,2.2214392245373715,24.697272234571678
36,165.879994,2.2217800574836937,23.787129051281106,165.03494,2.221563303169578,24.71057893032591,168.200058,2.2214391520842245,24.697272234571678
37,170.426609,2.2217801453505786,23.787954614176385,169.580336,2.221563390613403,24.71057893032591,172.7558,2.221439097018356,24.697703492474872
38,174.971746,2.2217802646483906,23.788335654445618,174.126338,2.221563382339977,24.712238706204584,177.310212,2.2214390100133765,24.700589829407782
39,179.518559,2.2217803773223945,23.78595426937646,178.673222,2.2215635313829605,24.709749091233157,181.865756,2.221438952170015,24.698101584486174
40,184.063843,2.22178046167162,23.787541828550268,183.218534,2.22156348804556,24.71057893032591,186.44023,2.221438561706846,24.70102115492722
41,188.609388,2.2217804041866507,23.787541828550268,187.764634,2.2215634217718216,24.709749091233157,190.975452,2.2214385182976026,24.698930966949103
42,193.155533,2.221780416101654,23.788335654445618,192.310437,2.221563421784484,24.712238706204584,195.530481,2.221438489508003,24.6993622586547
43,197.701696,2.2217803877628515,23.787954614176385,196.857069,2.221563182198833,24.71310184109176,200.085372,2.2214384565288334,24.6993622586547
44,202.247721,2.2217803998927175,23.791924132708147,201.402867,2.2215630307951346,24.71393181168196,204.640614,2.221438447199529,24.6993622586547
45,206.793976,2.2217804223359847,23.789129511213456,205.949055,2.221562843619822,24.712238706204584,209.195556,2.221438425355518,24.70102115492722
46,211.339897,2.221780440796736,23.789129511213456,210.494523,2.221562741794168,24.71140880202111,213.750314,2.2214384098745072,24.701850651856383
47,215.885366,2.2217805435073394,23.789129511213456,215.040766,2.2215629324183297,24.71184034812756,218.305344,2.2214383587839146,24.70102115492722
48,220.431834,2.221780472726367,23.787954614176385,219.586414,2.2215628884599905,24.71310184109176,222.860598,2.2214383062425718,24.700589829407782
49,224.978086,2.221780484269872,23.789923398872883,224.132676,2.2215627151382633,24.71140880202111,227.415256,2.2214382758298594,24.70311154942886
50,229.524329,2.2217805122748144,23.79071731741295,228.679199,2.221562509025341,24.712670269256183,231.971118,2.2214382670111292,24.69976038192069
51,234.069715,2.2217805230526477,23.789129511213456,233.224688,2.2215625452117465,24.71184034812756,236.525608,2.2214382143266165,24.701850651856383
52,238.616501,2.2217805810570344,23.79071731741295,237.770668,2.2215623418329633,24.71310184109176,241.080325,2.2214382037580886,24.702282003094226
53,243.16163,2.221780680115497,23.788748456121603,242.316695,2.2215618427897077,24.71018060349114,245.63557,2.2214382083926525,24.701452489271222
54,247.707582,2.2217806450239985,23.789923398872883,246.862682,2.2215619570762732,24.71184034812756,250.190556,2.221438198383763,24.701452489271222
55,252.253562,2.2217806602258574,23.79071731741295,251.41111,2.2215622417507754,24.713500222926584,254.762843,2.2214381615792687,24.702282003094226
56,256.799579,2.2217806713842743,23.788748456121603,255.954625,2.2215620674365604,24.714330209116472,259.806263,2.2214381434199604,24.700589829407782
57,261.34598,2.2217807477550786,23.790336232648468,260.500366,2.221561951082414,24.711010459521564,264.361216,2.2214380977404775,24.70311154942886
58,265.891836,2.221780755375932,23.789129511213456,265.046671,2.2215618992646173,24.71184034812756,268.916261,2.2214380538592144,24.70268018127391
59,270.437753,2.2217808272721267,23.79071731741295,269.592986,2.22156165096336,24.71310184109176,273.471887,2.2214380576859454,24.703941128287557
60,274.983824,2.221780900381225,23.788748456121603,274.138692,2.2215615507986723,24.712238706204584,278.026632,2.221438017340715,24.70311154942886
